,fullName,Articles,authors,years,Journals
14,Fardin Akhlaghian Tab,A personalized search engine using ontology-based fuzzy concept networks,"F Akhlaghian, B Arzanian, P Moradi",2010,"2010 International Conference on Data Storage and Data Engineering, 137-141, 2010"
15,Fardin Akhlaghian Tab,Design of an expert system for rice kernel identification using optimal morphological features and back propagation neural network,"SJ Mousavirad, FA Tab, K Mollazade",2012,"Int J Appl Inf Syst 3 (2), 33-37, 2012"
16,Fardin Akhlaghian Tab,Scalable multiresolution color image segmentation,"FA Tab, G Naghdy, A Mertins",2006,"Signal Processing 86 (7), 1670-1687, 2006"
17,Fardin Akhlaghian Tab,A new robust video watermarking algorithm based on SURF features and block classification,"Z Bahrami, F Akhlaghian Tab",2018,"Multimedia Tools and Applications 77, 327-345, 2018"
18,Fardin Akhlaghian Tab,A novel extreme learning machine based kNN classification method for dealing with big data,"A Shokrzade, M Ramezani, FA Tab, MA Mohammad",2021,"Expert Systems with Applications 183, 115293, 2021"
19,Fardin Akhlaghian Tab,An improved model of trust-aware recommender systems using reliability measurements,"S Ahmadian, P Moradi, F Akhlaghian",2014,"2014 6th conference on information and knowledge technology (IKT), 98-103, 2014"
20,Fardin Akhlaghian Tab,"Akhlaghian Tab, F., Kalaj, YR, Mohtasebi, SS, Zude, M., 2013. Analysis of texture-based features for predicting mechanical properties of horticultural products by laser light …","K Mollazade, M Omid",null,"Computers and Electronics in Agriculture 98, 34-45, 0"
21,Fardin Akhlaghian Tab,Artificial neural networks generation using grammatical evolution,"K Soltanian, FA Tab, FA Zar, I Tsoulos",2013,"2013 21st Iranian Conference on Electrical Engineering (ICEE), 1-5, 2013"
22,Fardin Akhlaghian Tab,A multi-agent based personalized meta-search engine using automatic fuzzy concept networks,"B Arzanian, F Akhlaghian, P Moradi",2010,"2010 Third International Conference on Knowledge Discovery and Data Mining …, 2010"
23,Fardin Akhlaghian Tab,Data mining-based wavelength selection for monitoring quality of tomato fruit by backscattering and multispectral imaging,"K Mollazade, M Omid, F Akhlaghian Tab, Y Rezaei Kalaj, SS Mohtasebi",2015,"International Journal of Food Properties 18 (4), 880-896, 2015"
24,Fardin Akhlaghian Tab,A new robust semi-blind digital image watermarking approach based on LWT-SVD and fractal images,"K Ghaderi, F Akhlaghian, P Moradi",2013,"2013 21st Iranian Conference on Electrical Engineering (ICEE), 1-5, 2013"
25,Fardin Akhlaghian Tab,Robust blind DWT based digital image watermarking using singular value decomposition,"H Danyali, M Makhloghi, FA Tab",2012,"International journal of innovative computing, information and control 8 (7), 2012"
26,Fardin Akhlaghian Tab,Diversity and separable metrics in over-sampling technique for imbalanced data classification,"S Mahmoudi, P Moradi, F Akhlaghian, R Moradi",2014,"2014 4th International Conference on Computer and Knowledge Engineering …, 2014"
27,Fardin Akhlaghian Tab,Rotation invariant retina identification based on the sketch of vessels using angular partitioning,"W Barkhoda, FA Tab, MD Amiri",2009,"2009 International Multiconference on Computer Science and Information …, 2009"
28,Fardin Akhlaghian Tab,Retina identification based on the pattern of blood vessels using angular and radial partitioning,"M Deljavan Amiri, F Akhlaqian Tab, W Barkhoda",2009,"Advanced Concepts for Intelligent Vision Systems: 11th International …, 2009"
29,Fardin Akhlaghian Tab,A new robust blind DWT-SVD based digital image watermarking,"M Makhloghi, FA Tab, H Danyali",2011,"2011 19th Iranian Conference on Electrical Engineering, 1-5, 2011"
30,Fardin Akhlaghian Tab,Robust digital image watermarking using singular value decomposition,"M Makhloghi, F Akhlaghian, H Danyali",2010,"The 10th IEEE International Symposium on Signal Processing and Information …, 2010"
31,Fardin Akhlaghian Tab,Robust detection of copy-move forgery using texture features,"F Gharibi, J RavanJamjah, F Akhlaghian, BZ Azami, J Alirezaie",2011,"2011 19th Iranian Conference on Electrical Engineering, 1-4, 2011"
32,Fardin Akhlaghian Tab,Improve performance of collaborative filtering systems using backward feature selection,"M Ramezani, P Moradi, FA Tab",2013,"The 5th Conference on Information and Knowledge Technology, 225-230, 2013"
33,Fardin Akhlaghian Tab,Using the local information of image to identify the source camera,"F Gharibi, F Akhlaghian, J RavanJamjah, B ZahirAzami",2010,"The 10th IEEE International Symposium on Signal Processing and Information …, 2010"
34,Fardin Akhlaghian Tab,Stemming for Kurdish information retrieval,"S Salavati, K Sheykh Esmaili, F Akhlaghian",2013,"Information Retrieval Technology: 9th Asia Information Retrieval Societies …, 2013"
35,Fardin Akhlaghian Tab,Fast unsupervised feature selection based on the improved binary ant system and mutation strategy,"Z Manbari, F Akhlaghian Tab, C Salavati",2019,"Neural Computing and Applications 31, 4963-4982, 2019"
36,Fardin Akhlaghian Tab,A novel content-based image retrieval approach using fuzzy combination of color and texture,"M Fathian, F Akhlaghian Tab",2011,"Artificial Intelligence and Computational Intelligence: Third International …, 2011"
37,Fardin Akhlaghian Tab,Multi Resolution Image Segmentation with Border Smoothness for Scalable Object-based Wavelet Coding.,"FA Tab, G Naghdy, A Mertins",2003,"DICTA, 977-986, 2003"
38,Fardin Akhlaghian Tab,A multi-objective model for identifying valuable nodes in complex networks with minimum cost,"A Abdollahpouri, C Salavati, J Arkat, F Akhlaghian Tab, Z Manbari",2020,"Cluster Computing 23, 2719-2733, 2020"
39,Fardin Akhlaghian Tab,A new robust video watermarking algorithm against cropping and rotating attacks,"F Akhlaghian, Z Bahrami",2015,"2015 12th International Iranian Society of Cryptology Conference on …, 2015"
40,Fardin Akhlaghian Tab,Spatial mapping of moisture content in tomato fruits using hyperspectral imaging and artificial neural networks,"K Mollazade, M Omid, FA Tab, SS Mohtasebi, M Zude",2012,"CIGR-Ageng2012: IV International workshop on Computer Image Analysis in …, 2012"
41,Fardin Akhlaghian Tab,Profile-based face recognition using the outline curve of the profile Silhouette,"KA Ghaffary, FA Tab, H Danyali",2011,"IJCA special issue on: Artifical Intelligence Techniques-Novel Approaches …, 2011"
42,Fardin Akhlaghian Tab,An improved adaptive neural fuzzy channel equalizer,"F Gharibi, J RavanJamjah, F Akhlaghian, B ZahirAzami",2010,"2010 18th Iranian Conference on Electrical Engineering, 326-330, 2010"
43,Fardin Akhlaghian Tab,"Akhlaghian Tab, F., & Mollazade, K.(2012). Design of an expert system for rice kernel identification using optimal morphological features and back propagation neural network",S Mousavi Rad,null,"International Journal of Applied Information Systems 3 (2), 33-37, 0"
44,Fardin Akhlaghian Tab,A new digital image watermarking approach based on DWT-SVD and CPPN-NEAT,"K Ghaderi, F Akhlghian, P Moradi",2012,"2012 2nd International eConference on Computer and Knowledge Engineering …, 2012"
45,Fardin Akhlaghian Tab,A weakly-supervised factorization method with dynamic graph embedding,"SA Seyedi, P Moradi, FA Tab",2017,"2017 Artificial Intelligence and Signal Processing Conference (AISP), 213-218, 2017"
46,Fardin Akhlaghian Tab,A new robust semi-blind image watermarking based on block classification and visual cryptography,"A Fatahbeygi, F Akhlaghian",2015,"2015 2nd International Conference on Pattern Recognition and Image Analysis …, 2015"
47,Fardin Akhlaghian Tab,A new generalized collaborative filtering approach on sparse data by extracting high confidence relations between users,"M Ramezani, FA Tab, A Abdollahpouri, MA Mohammad",2021,"Information Sciences 570, 323-341, 2021"
48,Fardin Akhlaghian Tab,Self-paced multi-label learning with diversity,"SA Seyedi, SS Ghodsi, F Akhlaghian, M Jalili, P Moradi",2019,"Asian Conference on Machine Learning, 790-805, 2019"
49,Fardin Akhlaghian Tab,A learning automata framework based on relevance feedback for content-based image retrieval,"M Fathian, F Akhlaghian Tab, K Moradi, S Saien",2018,"International Journal of Machine Learning and Cybernetics 9, 1457-1472, 2018"
50,Fardin Akhlaghian Tab,"Adaptive, scalable and robust watermarking for wavelet-based progressive image transmission","M Amiri, H Danyali, B Zahir-Azami, F Tab",2013,"The Imaging Science Journal 61 (2), 120-133, 2013"
51,Fardin Akhlaghian Tab,Identification of Rice Variaties Using Cooccurence Matrix Features of Bulk Samples and Support Vector Machine,"FA Mousavirad, K Mollazade",2012,"20th Iranian Conference on Electrical Engineering, University of Tehran …, 2012"
52,Fardin Akhlaghian Tab,Scalable multiresolution image segmentation and its application in video object extraction algorithm,"FA Tab, G Naghdy, A Mertins",2005,"TENCON 2005-2005 IEEE Region 10 Conference, 1-6, 2005"
53,Fardin Akhlaghian Tab,"ELM-NET, a closer to practice approach for classifying the big data using multiple independent ELMs","A Shokrzade, FA Tab, M Ramezani",2019,"Cluster Computing, 1-23, 2019"
54,Fardin Akhlaghian Tab,Evolutionary feature selection based on semi-local search,"M Mohamadi, FA Tab, K Soltanian",2019,"2019 4th international conference on pattern recognition and image analysis …, 2019"
55,Fardin Akhlaghian Tab,"Tab, and Habibollah Danyali,"" A new robust blind DWT-S VD based digital image watermarking,""","M Makhloghi, A Fardin",2011,"IEEE International Conference on Emerging Trends in Electrical and Computer …, 2011"
56,Fardin Akhlaghian Tab,Affine invariant Iris identification using angular and radial partitioning,"MD Amiri, W Barkhoda, H Danyali, FA Tab",2009,"2009 IEEE International Symposium on Signal Processing and Information …, 2009"
57,Fardin Akhlaghian Tab,Adaptive and cooperative multi-agent fuzzy system architecture,"F Daneshfar, F Akhlaghian, F Mansoori",2009,"2009 14th International CSI Computer Conference, 30-34, 2009"
58,Fardin Akhlaghian Tab,Multiresolution video object extraction fitted to scalable wavelet-based object coding,"FA Tab, G Naghdy, A Mertins",2007,"IET Image Processing 1 (1), 21-38, 2007"
59,Fardin Akhlaghian Tab,Multiresolution scalable image and video segmentation,F Akhlaghian,2005,"MS thesis, Dept. Elect. Eng., University of Wollongong, 2005"
60,Fardin Akhlaghian Tab,Multiresolution scalable image and video segmentation,F Akhlaghian Tab,2005,null
61,Fardin Akhlaghian Tab,Well defined video object extraction suitable for scalable wavelet based object coding,"FA Tab, G Naghdy, A Mertins",2004,"2004 International Conference on Signal Processing and Communications, 2004 …, 2004"
62,Fardin Akhlaghian Tab,"Akhlaghian Tab, F. and K. Mollazade. Design of an Expert System for Rice Kernel Identification using Optimal Morphological Features and Back Propagation Neural Network",SJ MousaviRad,null,"International Journal of Applied Information Systems (IJAIS), ISSN, 2249-0868, 0"
63,Fardin Akhlaghian Tab,Construction and Training of Artificial Neural Networks using Evolution Strategy with Parallel Populations,"F Ahmadizar, K Soltanian, F AkhlaghianTab",2016,"Signal and Data Processing 13 (1), 101-114, 2016"
64,Fardin Akhlaghian Tab,Content-based image retrieval using color features of partitioned images,"M Fathian, FA Tab",2011,"International Conference on Graphic and Image Processing (ICGIP 2011) 8285 …, 2011"
65,Fardin Akhlaghian Tab,Multiresolution image segmnetation for scalable object-based wavelet coding,"FA Tab, G Naghdy, A Mertins",2003,"Proc. 7th Int. Symp. DSP for Communication Systems (DSPCS’03), 171176, 2003"
66,Fardin Akhlaghian Tab,Self-supervised semi-supervised nonnegative matrix factorization for data clustering,"J Chavoshinejad, SA Seyedi, FA Tab, N Salahian",2023,"Pattern Recognition 137, 109282, 2023"
67,Fardin Akhlaghian Tab,Elastic adversarial deep nonnegative matrix factorization for matrix completion,"SA Seyedi, FA Tab, A Lotfi, N Salahian, J Chavoshinejad",2023,"Information Sciences 621, 562-579, 2023"
68,Fardin Akhlaghian Tab,ارائه یک روش دو جریانه مبتنی بر ویژگی های مکمل سنتی و عمیق برای تشخیص فعالیت انسان در ویدئو‎,"مرادیانی, رمضانی, اخلاقیان طاب, فردین, میرزایی‎",2023,"مجله ماشین بینایی و پردازش تصویر 10 (1), 17-31, 2023‎"
69,Fardin Akhlaghian Tab,Deep Autoencoder-like NMF with Contrastive Regularization and Feature Relationship Preservation,"N Salahian, FA Tab, SA Seyedi, J Chavoshinejad",2023,"Expert Systems with Applications 214, 119051, 2023"
70,Fardin Akhlaghian Tab,An adaptive optic-physic based dust removal method using optimized air-light and transfer function,"A Bartani, A Abdollahpouri, M Ramezani, FA Tab",2022,"Multimedia Tools and Applications 81 (23), 33823-33849, 2022"
71,Fardin Akhlaghian Tab,Parallel Local Feature Selection and High Dimensional Data Classification,"Z Manbari, C Salavati, F AkhlaghianTab, H Delbina, B Saeedpoor, ...",2021,"2021 11th International Conference on Computer Engineering and Knowledge …, 2021"
72,Fardin Akhlaghian Tab,Featre selection on large-scale issues using clustering and meta-algorithms,"FA Tab, S Amiri",2018,"Amazonia Investiga 7 (13), 17-30, 2018"
73,Fardin Akhlaghian Tab,A New Robust Digital Image Watermarking Algorithm Based on LWT-SVD and Fractal Images,"K Ghaderi, TABF AKHLAGHIAN, P Moradi",2015,"JOURNAL OF INFORMATION SYSTEMS AND TELECOMMUNICATION (JIST) 3 (19), 57-65, 2015"
74,Fardin Akhlaghian Tab,THE IDENTIFICATION OF WEB NAVIGATION PATTERNS OF SOCIAL NETWORKS TO IMPROVE MARKETING OF VIRTUAL COMMUNITIES,"HS Moradi, FA Tab, FA Zar",2014,null
75,Fardin Akhlaghian Tab,طراحی یک سیستم خبره برای تشخیص اصالت ارقام برنج با استفاده از ترکیب ویژگی های بافتی تصاویر توده ی برنج‎,"موسوی راد, سید جلال الدین, اخلاقیان طاب, فردین‎",2013,"مجله ماشین بینایی و پردازش تصویر 1 (1), 11-18, 2013‎"
76,Fardin Akhlaghian Tab,Analysis of texture based features for predicting mechanical poperties of horticultural products by laser light backscattering imaging,"M Zude-Sasse, K Mollazade, M Omid, F Akhlaghian Tab, YR Kalaj, ...",2013,null
77,Fardin Akhlaghian Tab,Real Time Identification of Rice Varieties Using Texture Features Based on Classifier Fusion Method,"F Akhlaghian Tab, K Mollazade",2012,"AISP 2012, 2012"
78,Fardin Akhlaghian Tab,Improving results of mixture model based graph clustering methods using evolutionary algorithms,"G Elyasi, P Moradi, F Akhlaghian",2012,"2012 2nd International eConference on Computer and Knowledge Engineering …, 2012"
79,Fardin Akhlaghian Tab,SJ MousaviRad F. Akhlaghian Tab,K Mollazade,2012,"Journal of Computational Intelligence 2, 53-58, 2012"
80,Fardin Akhlaghian Tab,Digital Camera Identification by Modeling the Probability Distribution of Sensor Pattern Noise,"F Gharibi, J RavanJamjah, B ZahirAzami, F Akhlaghian",2011,"2011 7th Iranian Conference on Machine Vision and Image Processing, 1-4, 2011"
81,Fardin Akhlaghian Tab,Year of Publication: 2011,"KA Ghaffary, FA Tab, H Danyali",2011,null
82,Fardin Akhlaghian Tab,Design and Implementation of a Text to Speech system for Kurdish Language with It's Quality Assessment,"W Barkhoda, A Bahrampour, F Akhlaqian, H Faili",2010,"Nashriyyah-i Muhandisi-i Barq va Muhandisi-i Kampyutar-i Iran 22 (2), 85, 2010"
83,Fardin Akhlaghian Tab,Multiresolution video object extraction fitted to scalable wavelet-based object coding,"A Mertins, G Naghdy, F Akhlaghian Tab",2007,null
84,Fardin Akhlaghian Tab,Scalable Multiresolution Image Segmentation and Its Application in Video Object Extraction Algorithm,"F Akhlaghian Tab, G Naghdy, A Mertins",2006,null
85,Fardin Akhlaghian Tab,Scalable Multi-Resolution Color Image Segmentation Algorithm,"FA Tab, G Naghdy, A Mertins",2005,"VISUAL COMMUNICATIONS AND IMAGE PROCESSING 2005, 2005"
86,Fardin Akhlaghian Tab,Scalable multiresolution color image segmentation with smoothness constraint,"FA Tab, G Naghdy, A Mertins",2005,"2005 IEEE International Conference on Electro Information Technology, 6 pp.-6, 2005"
87,Fardin Akhlaghian Tab,Scalable multiresolution color image segmentation with smoothness constraint,"F Akhlaghian Tab, G Naghdy, A Mertins",2005,null
88,Fardin Akhlaghian Tab,Scalable Multiresolution Image Segmentation and Its Application in Video Object Extraction Algorithm,"A Mertins, G Naghdy, FT Akhlaghian",2005,null
89,Fardin Akhlaghian Tab,Scalable Multiresolution Color Image Segmentation with Smoothness Constraint,"A Mertins, G Naghdy, FT Akhlaghian",2005,null
90,Fardin Akhlaghian Tab,Scalable Multi-resolution Color Image Segmentation,"A Mertins, G Naghdy, FT Akhlaghian",2005,null
91,Fardin Akhlaghian Tab,Scalable multiresolution color image segmentation [5960-178],"FA Tab, G Naghdy, A Mertins",2005,"PROCEEDINGS-SPIE THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING 5960 (3 …, 2005"
92,Fardin Akhlaghian Tab,Knowledge-based semantic image segmentation and global precedence effect,"FA Tab, G Naghdy",2005,"IET Digital Library, 2005"
93,Fardin Akhlaghian Tab,طراحی و آموزش شبکه های عصبی مصنوعی به وسیله استراتزی تکاملی با جمعیت های موازی‎,فردین احمدی زر، خبات سلطانیان و فردین اخلاقیان‎,1395,"پردازش علایم و داده ها 1 (27), 1395‎"
94,Fardin Akhlaghian Tab,Improve performance of collaborative filtering systems using backward feature selection,null,null,null
95,Fardin Akhlaghian Tab,طراحي و پياده سازي سيستم تبديل متن به گفتار براي زبان کردي و بررسي کيفي آن‎,"بارخدا وفا, بهرام پور انور, اخلاقيان فردين, فيلي هشام‎",null,"مهندسي برق و مهندسي کامپيوتر ايران 8 (2), 85-96, 0‎"
96,Fardin Akhlaghian Tab,نشانه ‌گذاري نيمه‌ کور تصاوير با استفاده از SVD در حوزه تبديل موجک گسسته‎,"مخلوقي مرتضي, دانيالي حبيب اله, اخلاقيان فردين‎",null,"فناوري اطلاعات و ارتباطات ايران 2 (65), 55-65, 0‎"
97,Fardin Akhlaghian Tab,طراحي و آموزش شبکه هاي عصبي مصنوعي به وسيله استراتژي تکاملي با جمعيت هاي موازي‎,"احمدي زر فردين, سلطانيان خه بات, اخلاقيان طاب فردين‎",null,"پردازش علايم و داده ها, 0‎"
98,Fardin Akhlaghian Tab,نشانه ‌گذاري نيمه‌ کور تصاوير با استفاده از SVD در حوزه تبديل موجک گسسته‎,"مرتضي مخلوقي, حبيب اله دانيالي, فردين اخلاقيان, کامپيوتر گروه, ...‎",null,null
99,Fardin Akhlaghian Tab,DWT-SVD BASED SEMI-BLIND DIGITAL IMAGE WATERMARKING,"M MAKHLOUGHI, H DANIALI, F AKHLAGHIAN",null,"IRANIAN COMMUNICATION AND INFORMATION TECHNOLOGY 2 (56), 55-65, 0"
100,Fardin Akhlaghian Tab,ICCKE 2014 Authors Index,"HA Toussi, M Abadi, B Abbasi, A Abdollahpouri, H Abedi, F Abiri, ...",null,null
101,Fardin Akhlaghian Tab,Pattern Recognition and Applications,"M Shamsi, AR Kenari, B Abdolahi, N Gheissari, K Ghaderi, F Akhlaghian, ...",null,null
102,Fardin Akhlaghian Tab,2015 2nd International Conference on Pattern Recognition and Image Analysis (IPRIA),"B Moradi, M Ezoji",null,null
103,Fardin Akhlaghian Tab,Scalable Multiresolution Image Segmentation and Its Application in Video Object Extraction,"FA Tab, G Naghdy",null,null
104,Fardin Akhlaghian Tab,Real Time Identification of Rice Varieties Using Texture Features Based on Classifier Fusion Method,"SJM Rad, FA Tab, K Mollazade",null,null
105,Parham Moradi,An unsupervised feature selection algorithm based on ant colony optimization,"S Tabakhi, P Moradi, F Akhlaghian",2014,"Engineering Applications of Artificial Intelligence 32, 112-123, 2014"
106,Parham Moradi,A hybrid particle swarm optimization for feature subset selection by integrating a novel local search strategy,"P Moradi, M Gholampour",2016,"Applied Soft Computing 43, 117-130, 2016"
107,Parham Moradi,A reliability-based recommendation method to improve trust-aware recommender systems,"P Moradi, S Ahmadian",2015,"Expert Systems with Applications 42 (21), 7386-7398, 2015"
108,Parham Moradi,Integration of graph clustering with ant colony optimization for feature selection,"P Moradi, M Rostami",2015,"Knowledge-Based Systems 84, 144-161, 2015"
109,Parham Moradi,A novel multivariate filter method for feature selection in text classification problems,"M Labani, P Moradi, F Ahmadizar, M Jalili",2018,"Engineering Applications of Artificial Intelligence 70, 25-37, 2018"
110,Parham Moradi,Relevance–redundancy feature selection based on ant colony optimization,"S Tabakhi, P Moradi",2015,"Pattern recognition 48 (9), 2798-2811, 2015"
111,Parham Moradi,Gene selection for microarray data classification using a novel ant colony optimization,"S Tabakhi, A Najafi, R Ranjbar, P Moradi",2015,"Neurocomputing 168, 1024-1036, 2015"
112,Parham Moradi,Evaluating collaborative filtering recommender algorithms: a survey,"M Jalili, S Ahmadian, M Izadi, P Moradi, M Salehi",2018,"IEEE access 6, 74003-74024, 2018"
113,Parham Moradi,An effective trust-based recommendation method using a novel graph clustering algorithm,"P Moradi, S Ahmadian, F Akhlaghian",2015,"Physica A: Statistical mechanics and its applications 436, 462-481, 2015"
114,Parham Moradi,A graph theoretic approach for unsupervised feature selection,"P Moradi, M Rostami",2015,"Engineering Applications of Artificial Intelligence 44, 33-45, 2015"
115,Parham Moradi,A multi-objective particle swarm optimization algorithm for community detection in complex networks,"S Rahimi, A Abdollahpouri, P Moradi",2018,"Swarm and Evolutionary Computation 39, 297-309, 2018"
116,Parham Moradi,A trust-aware recommendation method based on Pareto dominance and confidence concepts,"MM Azadjalal, P Moradi, A Abdollahpouri, M Jalili",2017,"Knowledge-Based Systems 116, 130-143, 2017"
117,Parham Moradi,TCARS: Time-and community-aware recommendation system,"F Rezaeimehr, P Moradi, S Ahmadian, NN Qader, M Jalili",2018,"Future Generation Computer Systems 78, 419-429, 2018"
118,Parham Moradi,An imputation-based matrix factorization method for improving accuracy of collaborative filtering systems,"M Ranjbar, P Moradi, M Azami, M Jalili",2015,"Engineering Applications of Artificial Intelligence 46, 58-66, 2015"
119,Parham Moradi,Velocity based artificial bee colony algorithm for high dimensional continuous optimization problems,"N Imanian, ME Shiri, P Moradi",2014,"Engineering Applications of Artificial Intelligence 36, 148-163, 2014"
120,Parham Moradi,TCFACO: Trust-aware collaborative filtering method based on ant colony optimization,"H Parvin, P Moradi, S Esmaeili",2019,"Expert Systems with Applications 118, 152-168, 2019"
121,Parham Moradi,Dynamic graph-based label propagation for density peaks clustering,"SA Seyedi, A Lotfi, P Moradi, NN Qader",2019,"Expert Systems with Applications 115, 314-328, 2019"
122,Parham Moradi,A pattern mining approach to enhance the accuracy of collaborative filtering in sparse data domains,"M Ramezani, P Moradi, F Akhlaghian",2014,"Physica A: Statistical Mechanics and its Applications 408, 72-84, 2014"
123,Parham Moradi,OSFSMI: online stream feature selection method based on mutual information,"M Rahmaninia, P Moradi",2018,"Applied Soft Computing 68, 733-746, 2018"
124,Parham Moradi,Density peaks clustering based on density backbone and fuzzy neighborhood,"A Lotfi, P Moradi, H Beigy",2020,"Pattern Recognition 107, 107449, 2020"
125,Parham Moradi,A scalable and robust trust-based nonnegative matrix factorization recommender using the alternating direction method,"H Parvin, P Moradi, S Esmaeili, NN Qader",2019,"Knowledge-Based Systems 166, 92-107, 2019"
126,Parham Moradi,A novel collaborative filtering model based on combination of correlation method with matrix completion technique,"E Bojnordi, P Moradi",2012,"The 16th CSI International Symposium on Artificial Intelligence and Signal …, 2012"
127,Parham Moradi,Evolutionary based matrix factorization method for collaborative filtering systems,"DZ Navgaran, P Moradi, F Akhlaghian",2013,"2013 21st Iranian conference on electrical engineering (ICEE), 1-5, 2013"
128,Parham Moradi,Automatic skill acquisition in Reinforcement Learning using connection graph stability centrality,"AA Rad, M Hasler, P Moradi",2010,"Proceedings of 2010 IEEE International Symposium on Circuits and Systems …, 2010"
129,Parham Moradi,A personalized search engine using ontology-based fuzzy concept networks,"F Akhlaghian, B Arzanian, P Moradi",2010,"2010 International Conference on Data Storage and Data Engineering, 137-141, 2010"
130,Parham Moradi,Automatic skill acquisition in reinforcement learning using graph centrality measures,"P Moradi, ME Shiri, AA Rad, A Khadivi, M Hasler",2012,"Intelligent Data Analysis 16 (1), 113-135, 2012"
131,Parham Moradi,A trust-aware recommender algorithm based on users overlapping community structure,"P Moradi, F Rezaimehr, S Ahmadian, M Jalili",2016,"2016 sixteenth international conference on advances in ICT for emerging …, 2016"
132,Parham Moradi,A multi-objective genetic algorithm for text feature selection using the relative discriminative criterion,"M Labani, P Moradi, M Jalili",2020,"Expert Systems with Applications 149, 113276, 2020"
133,Parham Moradi,An improved model of trust-aware recommender systems using reliability measurements,"S Ahmadian, P Moradi, F Akhlaghian",2014,"2014 6th conference on information and knowledge technology (IKT), 98-103, 2014"
134,Parham Moradi,An ideal point based many-objective optimization for community detection of complex networks,"S Tahmasebi, P Moradi, S Ghodsi, A Abdollahpouri",2019,"Information Sciences 502, 125-145, 2019"
135,Parham Moradi,A clustering based genetic algorithm for feature selection,"M Rostami, P Moradi",2014,"2014 6th Conference on Information and Knowledge Technology (IKT), 112-116, 2014"
136,Parham Moradi,Graph-based relevancy-redundancy gene selection method for cancer diagnosis,"S Azadifar, M Rostami, K Berahmand, P Moradi, M Oussalah",2022,"Computers in Biology and Medicine 147, 105766, 2022"
137,Parham Moradi,A multi-agent based personalized meta-search engine using automatic fuzzy concept networks,"B Arzanian, F Akhlaghian, P Moradi",2010,"2010 Third International Conference on Knowledge Discovery and Data Mining …, 2010"
138,Parham Moradi,A new robust semi-blind digital image watermarking approach based on LWT-SVD and fractal images,"K Ghaderi, F Akhlaghian, P Moradi",2013,"2013 21st Iranian Conference on Electrical Engineering (ICEE), 1-5, 2013"
